cell,longitude,latitude,richness,phylo.dist,phylo.SC,phylo.SV,morpho.MNND,morpho.volume,morpho.SD.MSTD,funct.rich,funct.even,funct.div
2868,-100.8,44.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2869,-99.8,44.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2870,-98.8,44.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2951,-101.8,43.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2952,-100.8,43.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2953,-99.8,43.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2954,-98.8,43.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
2955,-97.8,43.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3034,-102.8,42.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3035,-101.8,42.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3036,-100.8,42.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3037,-99.8,42.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3038,-98.8,42.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3117,-103.8,41.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3118,-102.8,41.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3119,-101.8,41.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3120,-100.8,41.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3121,-99.8,41.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3122,-98.8,41.2,2,55.6,0.431492843,0.568507157,2.191418006,0.002064478,0,2,1,0.69314718
3123,-97.8,41.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3124,-96.8,41.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3199,-105.8,40.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3200,-104.8,40.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3201,-103.8,40.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3202,-102.8,40.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3203,-101.8,40.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3204,-100.8,40.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3205,-99.8,40.2,2,55.6,0.431492843,0.568507157,2.191418006,0.002064478,0,2,1,0.69314718
3206,-98.8,40.2,2,55.6,0.431492843,0.568507157,2.191418006,0.002064478,0,2,1,0.69314718
3207,-97.8,40.2,2,85,0.130879346,0.869120654,3.707538011,0.003365997,0,2,1,0.69314718
3208,-96.8,40.2,2,85,0.130879346,0.869120654,3.707538011,0.003365997,0,2,1,0.69314718
3209,-95.8,40.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3210,-94.8,40.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3211,-93.8,40.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3283,-105.8,39.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3284,-104.8,39.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3285,-103.8,39.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3286,-102.8,39.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3287,-101.8,39.2,3,75,0.54601227,0.511247444,1.842597542,0.975478458,0.369979974,2,0.833333333,0.63651417
3288,-100.8,39.2,4,132.2,0.442229039,0.690184049,2.022311082,6.668130679,0.448816326,3,0.833333333,1.03972077
3289,-99.8,39.2,4,132.2,0.442229039,0.690184049,2.022311082,6.668130679,0.448816326,3,0.833333333,1.03972077
3290,-98.8,39.2,4,132.2,0.442229039,0.690184049,2.022311082,6.668130679,0.448816326,3,0.833333333,1.03972077
3291,-97.8,39.2,3,104.4,0.445807771,0.711656442,2.347970877,2.912130052,1.44203871,2,0.833333333,0.63651417
3292,-96.8,39.2,2,85,0.130879346,0.869120654,3.707538011,0.003365997,0,2,1,0.69314718
3293,-95.8,39.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3294,-94.8,39.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3295,-93.8,39.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3296,-92.8,39.2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3367,-105.8,38.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3368,-104.8,38.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3369,-103.8,38.2,2,55.6,0.431492843,0.568507157,2.702456119,0.143862579,0,2,1,0.69314718
3370,-102.8,38.2,4,132.2,0.442229039,0.690184049,2.022311082,6.668130679,0.448816326,3,0.833333333,1.03972077
3371,-101.8,38.2,4,132.2,0.442229039,0.690184049,2.022311082,6.668130679,0.448816326,3,0.833333333,1.03972077
3372,-100.8,38.2,4,132.2,0.442229039,0.690184049,2.022311082,6.668130679,0.448816326,3,0.833333333,1.03972077
3373,-99.8,38.2,4,132.2,0.442229039,0.690184049,2.022311082,6.668130679,0.448816326,3,0.833333333,1.03972077
